conversation,customer_sentiment
"hi jane, i have a query about the return process for a dslr camera that i purchased from your website. i want to know if there are any faster delivery options available for the return request. okay, i understand. but i need the return to be processed as soon as possible. is there any other faster delivery option available, like same day or in-a-day delivery? that's disappointing. is there anything else that can be done to speed up the process? okay, i see. can you please confirm the pickup and delivery dates for the standard delivery option? okay, thank you for the information, jane. no, that's all for now. thank you for your assistance. you too, jane. goodbye!",neutral
"hi sarah, this is rachel. i placed an order for a wristwatch a few days ago and i wanted to confirm the status of my order. sure, no problem. great! thank you for letting me know, sarah. no, that's all. thank you for your help. i appreciate your assistance, sarah. have a great day!",positive
"hi, i would like to check the status of my refund for the wet grinder i returned a few days ago. okay, that's good to know. can you confirm the amount of the refund? alright, thank you for confirming. i haven't received any email regarding the refund. can you please send me an email confirmation? okay, thank you. is there anything else i need to do? alright, thank you for your help, alex. thank you, alex. goodbye!",neutral
"hi sarah, i'm planning to buy a water purifier from brownbox. can you help me with the account requirement for shopping? okay, that sounds easy enough. how do i create an account? alright, i'll do that. do i need to provide any other information to purchase a water purifier? okay, got it. how long will it take for the water purifier to be delivered? that's great. one more thing, do you have any ongoing discounts or promotions for water purifiers? okay, thank you for your help, sarah. you've been very helpful. you too, sarah. goodbye!",neutral
"hi, i'm having trouble logging into my account to track my order. sure, my name is emily, and my email is emily456@yahoo.com. yes, it's the same as my email address, emily456@yahoo.com. oh no, i didn't realize that. can you help me reset the verification code? my phone number is 123-456-7890. okay, let me try.  it's working now! thank you so much, john. no, that's all i needed help with. thank you for your assistance. thank you, you too. goodbye.",neutral
"hi there, i recently purchased an air cooler from your website, and i want to register the product with the brand for warranty benefits. can you help me with that? yes, the brand name is coolair. sure, i'll hold. okay, that sounds good. can you guide me through the process? alright, i'll do that. is there anything else i need to know? okay, i'll do that. thank you for your help. no, that's all. thank you for your help. thank you, you too. goodbye!",neutral
"hi sarah, i recently purchased a bp monitor from brownbox, and i want to register it with the brand for warranty benefits. sure, the product details are xyz model, and my name is john smith. okay, i understand. can you guide me through the process? i completed the registration process. what should i do now? okay, i see. thank you for your help, sarah. no, that's all. thank you again. thank you, sarah. you too. goodbye!",neutral
"hello john, my name is mike and i have a question about my recent order. yes, i received my order yesterday, but i noticed that i was charged an extra $5 for a diaper i didn't order. can you explain why there is a hidden charge? i see. but why was the diaper shipped separately? i didn't receive any notification about it. okay, i understand now. but i still don't think it's fair that i was charged an extra $5 for shipping. can you refund the charge? thank you, john. i appreciate your help in resolving this issue. no, that's all for now. thank you again for your assistance.",neutral
"hi, i want to return a wet grinder that i purchased from brownbox last week. my order number is 12345678, and my name is jane doe. yes, the grinder is not working properly. it's not grinding the way it's supposed to, and i'm very disappointed. yes, i have. i followed the instructions in the manual, but it's still not working correctly. yes, it's unused, and i have the original packaging. how long will that take? okay, that's fine. but i have a question. i noticed that the return policy on your website says that the item should be returned within 14 days of purchase. it's been more than 14 days since i purchased the grinder. okay, thank you for your help. i appreciate it. no, that's all.",negative
"hi sarah, i'm calling because i have an issue with the delivery of my order. my vacuum cleaner was supposed to be delivered yesterday, but it's still showing as not out for delivery after reaching the nearest hub. my email address is jane.doe@email.com, and the order number is 123456. this is ridiculous. i need my vacuum cleaner urgently, and i paid for express delivery. tomorrow? that's not good enough. i need it today. i don't want to cancel my order. i just want my vacuum cleaner delivered today. fine. please escalate the issue. 24 hours? that's too long. okay, fine. please escalate the issue. no, that's all. *hangs up*",negative
"hi, sarah. i want to cancel my order for a pair of shorts that i placed yesterday. i found a better deal on another website. that would be great. how long will it take to process the cancellation and receive the refund? okay, that's fine. thank you for your help. no, that's all for now. thank you. thank you. you too. goodbye!",neutral
"hi jane, i recently purchased a pair of jeans from your website, and i was wondering if i could get them installed by your team. will it affect the warranty of the product? oh, i see. i am not facing any issues, but i was just curious if installation by your team would affect the warranty of the product. alright, i understand. thank you for clarifying that for me. no, that's all for now. thank you again. you too, jane. goodbye.",neutral
"hi, i want to return a water geyser that i bought from your website. the geyser arrived damaged, and the packaging was poor. i want to return it for a refund. okay, please do that. the outer body of the geyser was dented, and there were scratches all over it. the packaging was also damaged, and it looked like it had been mishandled during shipping. okay, please do that. i want a refund. sure, i can do that. okay, i'll do that. how long will it take to process my refund? okay, thank you for your help. thank you, you too. goodbye!",negative
"hi john. i have been trying to order a refrigerator from your website, but it's not available for shipping to my location. can you help me with this? yes, i am in new york. no, i specifically want a refrigerator. this is unacceptable. why can't you ship it to new york? this is ridiculous. i need a refrigerator urgently. can't you make an exception for me? i don't have time for that. this is a waste of my time. i want to speak to your manager. hi mark. i am really disappointed with your service. i want to order a refrigerator, but your agent informed me that it's not available for shipping to my location. i am in new york. this is unacceptable. i need a refrigerator urgently. i don't have time for that. this is a waste of my time. i am never going to order anything from your website again. no, that's all. goodbye.",negative
"hi jane, i'm having an issue with receiving the otp or verification code for my dslr camera order. i've tried multiple times, but i'm not receiving any code on my mobile number or email. i used my registered mobile number, which is 1234567890. i used my email address, which is johndoe@email.com. sure, my correct mobile number is 9876543210. i still haven't received any code on my mobile number or email. i've checked all my folders, and i still haven't received any code. no, i don't have any other mobile number. yes, please. that would be helpful. thank you for your help, jane. i appreciate it. no, that's all. thank you again. you too. goodbye.",negative
"hi sarah, i am having trouble canceling the return and replacement process for a washing machine. i want to know how i can cancel it. i have changed my mind and decided to keep the washing machine. i am unable to click on the 'cancel' button. it's not highlighted, and i can't click on it. yes, that's correct. i want to cancel it. yes, please escalate the issue. no, that's all. thank you for your help, sarah. thank you, sarah. you too. goodbye!",neutral
"hi sarah, i am having trouble logging into my account. i keep getting an error message saying that i've exceeded the attempts to enter the correct verification code for my sandwich maker. okay, thank you. yes, my phone number is  456-7890. okay, i've received the new code. let me enter it. no, that's all. thank you for your help.",neutral
"hi, i am facing issues logging into my account. i have lost my phone and forgotten my password. my email is johndoe@gmail.com, and my order number is 9876543. sure, what do you need? my name is john doe, my date of birth is 01/01/1985, and my billing address is 123 main street, anytown, usa. okay, please help me. alright, i clicked on it. done. i received the email, and i clicked on the link. okay, i have set a new password. it worked! thank you so much for your help. no, that's all. thanks again. you too. goodbye.",neutral
"hi, i am trying to reactivate my account, but it's not working. can you help me? my name is sarah and my email is sarah@email.com. i don't have my account number or order number with me right now. can't you reactivate it without that? my billing address is 123 main street, anytown, usa, and my phone number is 555-1234. yes, it's sarah@email.com. i don't have access to that email anymore. can you send it to a different email? okay, let me try that.  i've reset my password, but i still can't log in. okay, but i've been on hold for a long time already. hi john, i've been trying to reactivate my account, but it's not working. i've reset my password, but i still can't log in. yes, my billing address is 123 main street, anytown, usa, and my phone number is 555-1234. thank you, john. i appreciate your help. no, that's all. thank you again. you too. goodbye.",negative
"hi, sarah. i was browsing through your website and saw that you have an instant cashback offer on oven toaster grills . can you tell me more about it? yes, it's the bajaj 1603tss 16-litre oven toaster grill and the code is otg1603tss. yes, that would be great. sure, my email is johndoe@email.com and my phone number is 1234567890. no, that's all for now. thank you for your help, sarah. thank you. you too. goodbye!",neutral
"hi sarah, i noticed that there are different prices for books with the same title on your website. it's an external hard disk. the title is ""the ultimate external hard disk guide."" sure. one listing shows the book for $50, and another listing shows the same book for $60. sure. i see. but why is there a price discrepancy? oh, i understand now. so, which seller should i choose? that makes sense. thank you for your help, sarah. no, that's all. thank you again.",neutral
"hi sarah, i recently bought a refrigerator from your website, and i'm not satisfied with it. i would like to return it and get a refund. sure, my order number is 789012 and my email address is sam@example.com. yes, i have everything with me. okay, that sounds good. can you guide me on how to initiate the return process? thank you, sarah. that was helpful. no, that's all for now. thank you again for your help. you too, sarah. goodbye!",neutral
"hi, i am calling regarding my recent order for a pendrive. it has not been delivered yet, and i am worried about it. i was supposed to receive it last week, but it hasn't arrived yet. alright, i'll hold. that's not acceptable. i need the pendrive urgently for my work. what can you do to help me? yes, please hurry. okay, that's better. but what about the inconvenience caused by the delay? yes, that sounds fair. thank you for your help. no, that's all. thank you for your help. thank you, you too. goodbye!",negative
"hi, i'm calling because i have an issue with my juicer/mixer/grinder that i purchased from brownbox. the juicer/mixer/grinder stopped working after a month of use, and i am unable to return it as the return period has expired. i need help with getting it repaired or replaced. sure, please take your time. okay, that's fine. can you please guide me on how to get it repaired? my name is tom smith, and my phone number is 123-456-7890. my email address is tom.smith@email.com. okay, thank you for your help. when can i expect the repair to be completed? no, that's all. thank you for your help, jane. thank you, jane. goodbye!",negative
"hi rachel, i am calling to inquire about my electric cooker order. yes, please. okay, thank you. when can i expect to receive the tracking number? alright, thank you for your help. no, that's all for now. you too.",neutral
"hi sarah, i received an air conditioner that i ordered from your website, but it's not working properly. i would like to return it for a refund. yes, my order number is 123456 and the air conditioner is not cooling the room as it should. sure, no problem. okay, i understand. how do i initiate the return process? alright, that sounds easy enough. can you please explain the return check fee? okay, i understand. thank you for explaining that to me. no, that's all for now. thank you for your help, sarah. you too, bye.",neutral
"hi mark, i am trying to reactivate my account to purchase a television, but it's not working. my email address is john.doe@example.com. i don't know. i haven't used it for a while, and when i tried to log in today, it said my account is inactive. sure. fine. just transfer me. hi alex, i am trying to reactivate my account to purchase a television, but it's not working. john.doe@example.com. sure. sure, it's 01/01/1980. no, that's all for now. thank you for your help, alex. thank you, alex. you too. goodbye.",negative
"hi john, my name is mike. i recently ordered a pair of shoes from brownbox, but i need to cancel the order. can you help me with that? yes, i found the same pair of shoes at a lower price from another retailer. okay, i understand. no, that's it. thank you for your help, john. thank you, john. you too. goodbye.",neutral
"hi mike, i have a question regarding the loyalty program for my recent purchase of a toy. yes, i'm curious about how i can redeem these points and what benefits i can get from the program. that sounds great. can you tell me how much discount i can get with these 50 points? okay, i see. thank you for explaining that to me, mike. no, that's all. thank you for your help. thank you, mike. you too. goodbye!",neutral
"hi sarah, i have a question about the warranty for a water geyser i purchased from brownbox. my order number is 789012 and i purchased it on the 15th of last month. okay, that's good to know. but i have a question. i didn't install the geyser until a week later. does that mean my warranty starts from the date of installation? oh, i see. that's disappointing. is there anything i can do to extend the warranty? yes, please. yes, please. sure, it's abc123. okay, i think i'll go for the two-year extended warranty. how do i purchase it? no, that's alright. i'll purchase it online. thank you for your help. no, that's all. thank you.",neutral
"hi rachel, i have a question about the loyalty program and how to redeem my loyalty points while purchasing a refrigerator. my name is john smith, and my loyalty program id is bblp12345. yes, i'm looking at the samsung 4-door refrigerator. okay, that sounds good. how do i redeem my loyalty points? okay, got it. what if i want to redeem my loyalty points for a different refrigerator? okay, thanks for clarifying that. one more thing, how do i earn loyalty points? okay, that's helpful. thank you for your assistance, rachel. no, that's all. thanks again. thank you, you too. goodbye!",neutral
"hi john, i am trying to reactivate my account for my tablet, but i am not able to do it. can you help me with that? my username is johndoe and my email is johndoe@gmail.com. i don't remember the exact reason, but i think it was because i didn't use my account for some time. my registered phone number is 123-456-7890. i don't remember any other phone number or email address linked to my account. okay, please do. hi mark, my username is johndoe and my email is johndoe@gmail.com. my registered phone number is 123-456-7890. i don't remember any other phone number or email address linked to my account. my tablet's model number is abc123 and the operating system is android. no, that's all. thank you for your help.",negative
"hi john, i received my food processor yesterday, but it's not working correctly. i want to return it and get a replacement. sure, my order number is #987654321, and my email address is xyz@gmail.com. the 'cancel' button is not working. i can't cancel any operation while using it. yes, i tried restarting the processor, but it didn't work. yes, i tried to click the 'cancel' button several times, but it's not clickable. can you help me with that? sure. no, that's all. thank you for your help.",neutral
"hi sarah, i am calling to inquire about my refund for a watch that i returned. i had paid for it using cash on delivery, and i haven't received any updates on my refund yet. okay, i understand. but i had also paid for the courier charges while returning the watch. will i be reimbursed for that as well? why do i have to pay a processing fee? i had already paid for the courier charges while returning the watch. okay, i see. can you please confirm the amount that i will be receiving as a refund? okay, thank you for the information. when can i expect to receive the cheque? okay, thank you for your help, sarah. no, that's all for now. thank you again. you too, sarah. goodbye!",negative
"hi john, i received a printer that i ordered from your website, but it's not working correctly. i would like to return it and get a refund. i received it 10 days ago. yes, it's still in the original packaging and in the same condition. yes, i have tried a few things, but nothing seems to work. i have checked the connections, and i have also updated the drivers, but the printer still doesn't work. no, i haven't tried that yet. okay, i'll try that. i replaced the ink cartridge, but the printer still doesn't work. okay, that sounds good. no, that's all. thank you for your help, john. thank you, you too. bye.",neutral
"hi sarah, my name is mike. i recently ordered a smart watch from your website, and i was wondering if it comes with a wall mount for televisions. oh, that's too bad. is there any way i can get one? yes, please. okay, i found the wall mount i need. but i'm not sure if it's compatible with my smart watch. great, thank you for your help, sarah. no, that's all. you too, sarah. goodbye.",neutral
"hi sarah, i have a question about book pricing discrepancies on your website. yes, i noticed that there are different prices for books with the same title. for example, i saw two different prices for the book ""the great gatsby"" by f. scott fitzgerald. sure, the book title is ""the great gatsby"" by f. scott fitzgerald. the first price i saw was $14.99, and the second price was $12.99. i haven't placed an order yet. i was just browsing your website and noticed the discrepancy. sure, it's johndoe@email.com. no, that's all. thank you for your help. you too. goodbye.",neutral
"hello, i have a question about the delivery charges for a water geyser i want to purchase. sure, my name is emily, and i haven't placed the order yet. i'm interested in the abc model. okay, thank you for letting me know. can you please tell me how long it will take for the geyser to be delivered? okay, that's helpful. i think i'll go with standard delivery. can you please confirm the total cost, including the delivery charge? okay, that sounds good. thank you for your help. no, that's all. thank you again.",neutral
